Sample_id,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9,Class_10
1,0.1808939504,0.1290260161,0.3879746380,0.0244810822,0.0376840031,0.0856756150,0.0976257986,0.0021300192,0.0356520968,0.0188567805
2,0.1182992815,0.0773422382,0.2665026395,0.0468734117,0.0497861925,0.0902656280,0.0485900944,0.0167698908,0.2678828370,0.0176877864
3,0.7157661809,0.0169832061,0.0027382207,0.0041097309,0.0390199002,0.0154645747,0.0341617717,0.1534477568,0.0012557606,0.0170528973
4,0.8971105002,0.0597953330,0.0018400439,0.0014056169,0.0138065786,0.0016648677,0.0119643248,0.0058594485,0.0002285810,0.0063247054
5,0.8370276083,0.0267454456,0.0017425819,0.0052158743,0.0135171458,0.0672469473,0.0101934710,0.0186561705,0.0013474236,0.0183073317
6,0.1835180078,0.0007704295,0.0013013723,0.0039387523,0.0516403214,0.0239484156,0.0175751356,0.7100051681,0.0002560699,0.0070463275
7,0.1612133737,0.0957179245,0.0431463606,0.0479673357,0.1145526743,0.1253006738,0.1166025348,0.0131928821,0.2622275863,0.0200786541
8,0.6355294353,0.0218196595,0.0028630415,0.0067504853,0.1883065883,0.0065518502,0.0638890918,0.0590317540,0.0018539697,0.0134041243
9,0.9119295775,0.0034516533,0.0010572563,0.0014924008,0.0169392946,0.0092830977,0.0132201513,0.0356049354,0.0007985014,0.0062231317
10,0.3988356358,0.5132014332,0.0146854889,0.0134225958,0.0067224770,0.0178294842,0.0068393388,0.0073349563,0.0183278722,0.0028007178
11,0.7811895085,0.0347206722,0.0020556146,0.0026136797,0.0496363944,0.0142572736,0.0642263303,0.0363084890,0.0009166066,0.0140754311
12,0.2850709862,0.0249757557,0.0209748242,0.0589114392,0.2379002735,0.0192727916,0.1078245073,0.0685240029,0.0064550945,0.1700903248
13,0.7808057004,0.1276117009,0.0183010247,0.0044032918,0.0066180233,0.0115969634,0.0171393798,0.0069647728,0.0011693405,0.0253898025
14,0.3995784291,0.0709577248,0.0074296900,0.1073088955,0.1793091416,0.0608471112,0.0263006477,0.0621203393,0.0510229369,0.0351250840
15,0.2689804935,0.0269567579,0.0031984864,0.4881438183,0.1091223122,0.0221568987,0.0471679430,0.0228873006,0.0017403017,0.0096456876
16,0.5236626307,0.0284143065,0.0051231755,0.0967878268,0.0447206249,0.0143530629,0.0436797053,0.2116147015,0.0025046851,0.0291392808
17,0.2521947702,0.1922192432,0.2911992953,0.0395069671,0.0711363486,0.0515398683,0.0223561887,0.0064625474,0.0511813434,0.0222034278
18,0.9314281494,0.0555089006,0.0014061281,0.0001999909,0.0040363245,0.0005213672,0.0034884820,0.0011515554,0.0003597925,0.0018993094
19,0.1343320966,0.0151595530,0.3134997236,0.0226637484,0.0377705250,0.3745412244,0.0167265775,0.0169697704,0.0490694958,0.0192672855
20,0.2758253163,0.6657430706,0.0022813858,0.0047424054,0.0086328458,0.0073825223,0.0181966260,0.0009609223,0.0126938586,0.0035410469
